"first_author_last_name","publication_year","n_no_clip","no_percent_treated_with_antiplate_medications_control_no_clip","no_of_patient_treated_with_anticuagulation_control_no_clip","location_x_cecum_colon_control_no_clip_6","location_ascending_colon_control_no_clip_7","location_transverse_colon_control_no_clip_8","location_descending_colon_control_no_clip_9","location_sigmoid_control_no_clip_10","location_rectum_control_no_clip_11","delayed_bleeding_no_clip","perforation_no_clip","post_esd_syndrome_no_clip","adenoma_15","serrate_16","hyperplastic_17","flat_non_polypoid_polyps_18","sessile_polyps_19","avg_size","end_block_resection_21","piecemeal_22","n_clip","antiplatelet_clip","anticoag_clip","location_x_cecum_colon_control_no_clip_26","location_ascending_colon_control_no_clip_27","location_transverse_colon_control_no_clip_28","location_descending_colon_control_no_clip_29","location_sigmoid_control_no_clip_30","location_rectum_control_no_clip_31","delayed_bleeding_clip","perforation_clip","post_esd_syndrome_clip","adenoma_35","serrate_36","hyperplastic_37","flat_non_polypoid_polyps_38","sessile_polyps_39","average_size_40","end_block_resection_41","piecemeal_42","technique_label","technique_code","size_cut_off","technique","study_id"
"Lee",2019,110,"12","1","12","25","9","6","20","29",2,4,12,"79",0,2,NA,NA,22.3,104,6,110,14,0,9,"24","13","2",20,37,1,3,9,63,7,3,NA,NA,"19.74mm",108,2,"ESD",1,NA,"ESD",1
"Miyakawa",2025,149,"18","5","27","27","33","7","23","32",30,1,30,NA,NA,NA,NA,23,30.1,141,0,150,15,10,18,"27","39","16",27,23,12,2,30,NA,NA,NA,NA,23,"30 mm",145,0,"ESD",1,NA,"ESD",2
"Nomura",2020,84,NA,NA,"31","22","22","0","4","5",3,3,10,"45",NA,NA,NA,NA,20,79,NA,71,NA,NA,26,"19","19",NA,4,3,1,3,14,39,NA,NA,NA,NA,"22 mm",70,0,"ESD",1,NA,"ESD",3
"Osada",2016,13,"2","0",NA,NA,NA,"3",NA,"10",0,0,6,"10",NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,"8",NA,5,0,0,4,8,NA,NA,NA,NA,NA,NA,NA,"ESD",1,NA,"ESD",4
"Zhang",2015,174,NA,NA,NA,"27","24","42","33","48",12,1,8,NA,NA,NA,71,74,NA,NA,NA,174,NA,NA,NA,"27","24","42",33,48,2,1,1,NA,NA,NA,66,78,NA,NA,NA,"ESD/EMR",3,NA,"ESD+EMR",5
"Albéniz",2019,116,"34","31",NA,NA,NA,NA,NA,"3",14,1,0,"104",7,NA,70,46,37.3,NA,NA,119,50,30,NA,NA,NA,NA,NA,3,6,1,3,107,12,NA,NA,NA,"36.1 mm",NA,NA,"EMR",2,NA,"EMR",6
"Pohl",2019,464,"130","29",NA,NA,NA,NA,NA,NA,11,6,1,"324",105,NA,210,289,28,NA,NA,455,101,20,NA,NA,NA,NA,NA,NA,6,3,1,317,115,NA,282,208,"30 mm",NA,NA,"EMR",2,NA,"EMR",7
"Gupta",2021,113,"23","12","52","39","11",NA,NA,NA,12,1,NA,"100",13,NA,NA,NA,37.2,7,NA,118,19,12,44,"52","22",NA,NA,NA,4,1,NA,112,8,NA,NA,NA,"35.7mm",10,NA,"EMR",2,NA,"EMR",8
"Inoue",2020,519,"70","9",NA,"849",NA,"552",NA,"110",14,1,NA,NA,NA,NA,NA,NA,5,NA,NA,520,81,6,NA,"831",NA,"519",NA,99,12,1,NA,NA,NA,NA,NA,NA,"5 mm",NA,NA,"EMR",2,NA,"EMR",9
"Kemper",2025,179,"29","19","44","85","38",NA,NA,NA,11,2,0,"145",32,NA,NA,NA,33,34,145,177,31,22,40,"93","15","3",NA,NA,16,1,3,140,35,NA,NA,NA,"33 mm",33,144,"EMR",2,NA,"EMR",10
"Matsumoto",2016,747,"410",NA,NA,"845",NA,"883",NA,NA,15,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,752,407,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,"EMR",2,NA,"EMR",11
"Shioji",2003,208,NA,NA,"90",NA,NA,"75",NA,"43",2,NA,NA,"172",4,9,NA,NA,7.8,NA,NA,205,NA,NA,97,NA,NA,"74",NA,34,2,NA,NA,177,5,5,NA,NA,"7.8 mm",NA,NA,"EMR",2,NA,"EMR",12
"Dokoshi",2015,134,"19","2",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,19,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EMR",2,NA,"EMR",13
