"study_id","study_label","technique","n_clip","n_no_clip","events_clip","events_no_clip","outcome","yi","sei"
1,"Lee 2019","ESD",110,110,1,2,"delayed_bleeding",-0.702363835664869,1.23224736606976
2,"Miyakawa 2025","ESD",150,149,12,30,"delayed_bleeding",-1.06442092391983,0.363753219673447
3,"Nomura 2020","ESD",71,84,1,3,"delayed_bleeding",-0.95265837604503,1.16617525553897
4,"Osada 2016","ESD",13,13,0,0,"delayed_bleeding",0,2.03670030886926
5,"Zhang 2015","ESD+EMR",174,174,2,12,"delayed_bleeding",-1.85165761080912,0.771569910201194
6,"Albéniz 2019","EMR",119,116,6,14,"delayed_bleeding",-0.949712865815273,0.506703776565746
7,"Pohl 2019","EMR",455,464,6,11,"delayed_bleeding",-0.597266565829536,0.511869548407332
8,"Gupta 2021","EMR",118,113,4,12,"delayed_bleeding",-1.21969022022135,0.59330114887543
9,"Inoue 2020","EMR",520,519,12,14,"delayed_bleeding",-0.16007369813038,0.39838499810951
10,"Kemper 2025","EMR",177,179,16,11,"delayed_bleeding",0.417253063860207,0.406906195560716
11,"Matsumoto 2016","EMR",752,747,18,15,"delayed_bleeding",0.179593042140751,0.353483719937658
12,"Shioji 2003","EMR",205,208,2,2,"delayed_bleeding",0.0146701897477941,1.00487833955481
13,"Dokoshi 2015","EMR",154,134,4,3,"delayed_bleeding",0.152244101556677,0.773067647613234
1,"Lee 2019","ESD",110,110,3,4,"perforation",-0.29707181280162,0.775959464141013
2,"Miyakawa 2025","ESD",150,149,2,1,"perforation",0.693147180559945,1.23024937045849
3,"Nomura 2020","ESD",71,84,3,3,"perforation",0.174941449496332,0.832897489509936
4,"Osada 2016","ESD",13,13,0,0,"perforation",0,2.03670030886926
5,"Zhang 2015","ESD+EMR",174,174,1,1,"perforation",0,1.41829499528188
6,"Albéniz 2019","EMR",119,116,1,1,"perforation",-0.0257524961024149,1.42027118130486
7,"Pohl 2019","EMR",455,464,3,6,"perforation",-0.679960176277992,0.710208276137407
8,"Gupta 2021","EMR",118,113,1,1,"perforation",-0.0436750635026621,1.42037867485244
9,"Inoue 2020","EMR",520,519,1,1,"perforation",-0.00192864090640565,1.415576661366
10,"Kemper 2025","EMR",177,179,1,2,"perforation",-0.687481443024269,1.22936224754787
1,"Lee 2019","ESD",110,110,9,12,"post_esd_syndrome",-0.317835110622469,0.463194900852878
2,"Miyakawa 2025","ESD",150,149,30,30,"post_esd_syndrome",-0.00836824967051641,0.288796401197345
3,"Nomura 2020","ESD",71,84,14,10,"post_esd_syndrome",0.597486061990832,0.449984382608116
4,"Osada 2016","ESD",13,13,4,6,"post_esd_syndrome",-0.65677953638907,0.818923024853326
5,"Zhang 2015","ESD+EMR",174,174,1,8,"post_esd_syndrome",-2.12074534782107,1.0662103184674
6,"Albéniz 2019","EMR",119,116,3,0,"post_esd_syndrome",1.94591014905531,1.51752484911732
7,"Pohl 2019","EMR",455,464,1,1,"post_esd_syndrome",0.0196298560448858,1.41575508841947
10,"Kemper 2025","EMR",177,179,3,0,"post_esd_syndrome",1.97416061534116,1.51559096572286
