"study_id","study_label","technique","n_clip","n_no_clip","events_clip","events_no_clip","outcome","yi","sei"
1,"Lee 2019","ESD",110,110,1,2,"delayed_bleeding",-0.693147180559945,1.21729954481967
2,"Miyakawa 2025","ESD",150,149,12,30,"delayed_bleeding",-0.922979720024952,0.321385423757872
3,"Nomura 2020","ESD",71,84,1,3,"delayed_bleeding",-0.930475366866112,1.14339147468674
4,"Osada 2016","ESD",13,13,0,0,"delayed_bleeding",0,1.96396101212393
5,"Zhang 2015","ESD+EMR",174,174,2,12,"delayed_bleeding",-1.79175946922805,0.756200423472356
6,"Albéniz 2019","EMR",119,116,6,14,"delayed_bleeding",-0.872831162392368,0.470182078662647
7,"Pohl 2019","EMR",455,464,6,11,"delayed_bleeding",-0.586548670295011,0.503212463045345
8,"Gupta 2021","EMR",118,113,4,12,"delayed_bleeding",-1.14190909442143,0.562146955466294
9,"Inoue 2020","EMR",520,519,12,14,"delayed_bleeding",-0.156075608236843,0.38847399599616
10,"Kemper 2025","EMR",177,179,16,11,"delayed_bleeding",0.385929522708337,0.377058060802571
11,"Matsumoto 2016","EMR",752,747,18,15,"delayed_bleeding",0.175650417976932,0.345765450706839
12,"Shioji 2003","EMR",205,208,2,2,"delayed_bleeding",0.0145281005629094,0.995145345621342
13,"Dokoshi 2015","EMR",154,134,4,3,"delayed_bleeding",0.148569269989063,0.754570831845933
1,"Lee 2019","ESD",110,110,3,4,"perforation",-0.287682072451781,0.751765598542202
2,"Miyakawa 2025","ESD",150,149,2,1,"perforation",0.686458192409149,1.21927106253587
3,"Nomura 2020","ESD",71,84,3,3,"perforation",0.168136921801998,0.80042326160579
4,"Osada 2016","ESD",13,13,0,0,"perforation",0,1.96396101212393
5,"Zhang 2015","ESD+EMR",174,174,1,1,"perforation",0,1.41014387461934
6,"Albéniz 2019","EMR",119,116,1,1,"perforation",-0.0255333020051651,1.40818178833569
7,"Pohl 2019","EMR",455,464,3,6,"perforation",-0.673560047284641,0.704022034732156
8,"Gupta 2021","EMR",118,113,1,1,"perforation",-0.0432968057533243,1.40807523456905
9,"Inoue 2020","EMR",520,519,1,1,"perforation",-0.00192492840958458,1.41285177594938
10,"Kemper 2025","EMR",177,179,1,2,"perforation",-0.681911107293019,1.22014904430037
1,"Lee 2019","ESD",110,110,9,12,"post_esd_syndrome",-0.287682072451781,0.419836427984312
2,"Miyakawa 2025","ESD",150,149,30,30,"post_esd_syndrome",-0.00668898815079655,0.230843216499915
3,"Nomura 2020","ESD",71,84,14,10,"post_esd_syndrome",0.504609158423211,0.381365051468479
4,"Osada 2016","ESD",13,13,4,6,"post_esd_syndrome",-0.405465108108164,0.512660231362364
5,"Zhang 2015","ESD+EMR",174,174,1,8,"post_esd_syndrome",-2.07944154167984,1.05522781764244
6,"Albéniz 2019","EMR",119,116,3,0,"post_esd_syndrome",1.92059234107102,1.50626489829443
7,"Pohl 2019","EMR",455,464,1,1,"post_esd_syndrome",0.019587133275305,1.4126737151191
10,"Kemper 2025","EMR",177,179,3,0,"post_esd_syndrome",1.95708344965344,1.50815806619553
