"study_id","technique","events_clip","n_clip","events_no_clip","n_no_clip","risk_clip","risk_no_clip","attributable_risk","rr"
1,"ESD",1,110,2,110,0.00909090909090909,0.0181818181818182,-0.00909090909090909,0.5
2,"ESD",12,150,30,149,0.08,0.201342281879195,-0.121342281879195,0.397333333333333
3,"ESD",1,71,3,84,0.0140845070422535,0.0357142857142857,-0.0216297786720322,0.394366197183099
4,"ESD",0,13,0,13,0,0,0,NA
5,"ESD+EMR",2,174,12,174,0.0114942528735632,0.0689655172413793,-0.0574712643678161,0.166666666666667
6,"EMR",6,119,14,116,0.0504201680672269,0.120689655172414,-0.0702694871051869,0.417767106842737
7,"EMR",6,455,11,464,0.0131868131868132,0.0237068965517241,-0.0105200833649109,0.556243756243756
8,"EMR",4,118,12,113,0.0338983050847458,0.106194690265487,-0.072296385180741,0.319209039548023
9,"EMR",12,520,14,519,0.0230769230769231,0.0269749518304432,-0.00389802875352008,0.855494505494506
10,"EMR",16,177,11,179,0.0903954802259887,0.0614525139664804,0.0289429662595083,1.47098099640473
11,"EMR",18,752,15,747,0.023936170212766,0.0200803212851406,0.0038558489276254,1.19202127659574
12,"EMR",2,205,2,208,0.00975609756097561,0.00961538461538462,0.000140712945590994,1.01463414634146
13,"EMR",4,154,3,134,0.025974025974026,0.0223880597014925,0.00358596627253344,1.16017316017316
