"study_id","study_label","technique","events_clip","n_clip","events_no_clip","n_no_clip","risk_clip","risk_no_clip","arr","nnt","rr"
1,"Lee 2019","ESD",1,110,2,110,0.00909090909090909,0.0181818181818182,0.00909090909090909,110,0.5
2,"Miyakawa 2025","ESD",12,150,30,149,0.08,0.201342281879195,0.121342281879195,8.24115044247788,0.397333333333333
3,"Nomura 2020","ESD",1,71,3,84,0.0140845070422535,0.0357142857142857,0.0216297786720322,46.2325581395349,0.394366197183099
4,"Osada 2016","ESD",0,13,0,13,0,0,0,NA,NA
5,"Zhang 2015","ESD+EMR",2,174,12,174,0.0114942528735632,0.0689655172413793,0.0574712643678161,17.4,0.166666666666667
6,"Albéniz 2019","EMR",6,119,14,116,0.0504201680672269,0.120689655172414,0.0702694871051869,14.2309278350515,0.417767106842737
7,"Pohl 2019","EMR",6,455,11,464,0.0131868131868132,0.0237068965517241,0.0105200833649109,95.056280954525,0.556243756243756
8,"Gupta 2021","EMR",4,118,12,113,0.0338983050847458,0.106194690265487,0.072296385180741,13.8319502074689,0.319209039548023
9,"Inoue 2020","EMR",12,520,14,519,0.0230769230769231,0.0269749518304432,0.00389802875352008,256.539923954373,0.855494505494506
10,"Kemper 2025","EMR",16,177,11,179,0.0903954802259887,0.0614525139664804,-0.0289429662595083,-34.5507088331516,1.47098099640473
11,"Matsumoto 2016","EMR",18,752,15,747,0.023936170212766,0.0200803212851406,-0.0038558489276254,-259.346260387812,1.19202127659574
12,"Shioji 2003","EMR",2,205,2,208,0.00975609756097561,0.00961538461538462,-0.000140712945590994,-7106.66666666669,1.01463414634146
13,"Dokoshi 2015","EMR",4,154,3,134,0.025974025974026,0.0223880597014925,-0.00358596627253344,-278.864864864865,1.16017316017316
